id,name,source,distance_mi,difficulty,access_grade,grade_mapping_basis,start_coord_method,geometry,official_url
route-walk-1-chipping-campden,Walk 1: Chipping Campden and Dover's Hill,National Trail,4.5,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-1-chipping-campden/
route-walk-2-broadway-tower,Walk 2: Broadway and the Tower,National Trail,4.0,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-2-broadway-and-tower/
route-walk-3-stanton-snowshill,"Walk 3: Stanton, Snowshill and the Edge",National Trail,6.0,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-3-stanton-snowshill-and-edge/
route-walk-3-short-stanton-shenberrow,Walk 3 (short): Stanton and Shenberrow Hill Fort,National Trail,2.5,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-3-stanton-snowshill-and-the-edge-short-route/
route-walk-4-winchcombe-belas-knap,Walk 4: Winchcombe and Belas Knap,National Trail,5.25,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-4-winchcombe-and-belas-knap/
route-walk-5-cleeve-hill-ring,Walk 5: Cleeve Hill Common Ring,National Trail,6.0,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-5-cleeve-hill-ring/
route-walk-5-shorter-cleeve-common,Walk 5 (shorter): Cleeve Hill Common,National Trail,4.0,easy,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-5-the-cleeve-hill-common-ring-shorter-route/
route-walk-6-leckhampton-loop,Walk 6: Leckhampton Loop — Seven Springs and the Devil's Chimney,National Trail,4.5,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-6-leckhampton-loop/
route-walk-7-cranham-coopers,"Walk 7: Cranham, Coopers and the Beechwoods",National Trail,4.0,easy,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-7-cranham-coopers-and-beechwoods/
route-walk-8-selsley-circuit,Walk 8: The Selsley Circuit — Commons and Canals,National Trail,5.0,moderate,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-8-selsley-circuit/
route-walk-9-cam-long-down-uley,Walk 9: Cam Long Down and Uley — Hills and Hillforts,National Trail,4.0,challenging,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-9-hills-and-hillforts-cam-long-down-and-uley/
route-walk-9-short-uley-bury,Walk 9 (short): Uley Bury Hillfort,National Trail,1.5,challenging,,,,start pin only (no official GPX published),https://www.nationaltrail.co.uk/en_GB/short-routes/cotswold-way-circular-walk-9-uley-bury-hill-fort-1-5-miles/
