id,name,action,accessible,radar_key,hours,notes,sources
poi-campden-toilets,Public Toilets (Sheep Street),updated,yes,yes,"Summer: 8am-7pm; Winter: 8am-6pm","50p charge; Danfo-operated; baby changing. Hours corrected from flat 8am-6pm.","https://cotswold.gov.uk/parking-travel-and-visitors/public-toilets; https://www.nationaltrail.co.uk/en_GB/service/public-toilet-chipping-campden-2/"
poi-broadway-toilets,Public Toilets (Church Close),updated + renamed,yes,unknown,"Daily: 8am-6pm","Renamed Church Street -> Church Close (correct car park). Changing Places facility. Closed Christmas Day + New Year's Day.","https://www.nationaltrail.co.uk/en_GB/service/public-toilets-broadway-2/; https://www.wychavon.gov.uk/parking-and-fines/public-toilets"
poi-fish-hill-toilets,Fish Hill Picnic Site Toilets,updated,unknown,unknown,"Unconfirmed — site gates 8am-dusk","Worcestershire CC lists disabled visitors' toilet; visitor review disputes accessibility. No published toilet hours. Reliability caveat retained.","https://www.worcestershire.gov.uk/council-services/environment/countryside-and-leisure/country-parks-picnic-places-and-nature-reserves/fish-hill-picnic-place"
poi-tower-toilets,Toilets (Broadway Tower),updated + moved ~100m,unknown,unknown,"Tower Barn: 9.30am-4pm weekdays; 9am-5pm weekends","Visitor facilities on private estate; grounds admission applies. Pin moved to OSM toilet node 52.02242 -1.83598.","https://broadwaytower.co.uk/tower-barn/; https://broadwaytower.co.uk/opening-times/"
poi-winchcombe-toilets,Public Toilets (Back Lane),updated,unknown,unknown,"Daily: 8am-6pm","20p coin. Approach via Cowl Lane. Closed Christmas/Boxing Day. No source confirms accessible cubicle — flag for CWA ground check.","https://www.nationaltrail.co.uk/en_GB/service/public-toilet-winchcombe-2/; https://www.cotswolds-nl.org.uk/exploring/self-guided-route/winchcombe-miles-without-stiles/"
poi-crickley-hill-toilets,Public Toilets (Crickley Hill),updated + moved ~250m,yes,unknown,"Daily: 9am-6pm","Pin moved to visitor-centre toilets by cafe in top car park (toiletmap fix). Free; baby changing.","https://www.gloucestershirewildlifetrust.co.uk/nature-reserves/crickley-hill; https://www.toiletmap.org.uk/loos/e4fa4cc40b223146fe032d6d"
poi-coopers-hill-toilets,Cooper's Hill (NO TOILETS),warning confirmed,n/a,n/a,,"No facilities confirmed. Added nearest alternatives (Brockworth Co-op; Shell A46).","https://www.toiletmap.org.uk/loos/6c277a0d46a0f72568ce533a"
poi-painswick-toilets,Public Toilets (Stamages Lane),updated,yes,yes,"Daily: 7am-7pm","Free. Stroud DC: disabled cubicle via RADAR key. Hours corrected from 8am-6pm to council's 7am-7pm.","https://www.stroud.gov.uk/community-and-living/public-toilets/"
poi-coaley-peak-toilets,Coaley Peak (UNRELIABLE),warning confirmed,n/a,n/a,,"No permanent toilets confirmed (GWT lists picnic area only). Added nearest-reliable pointer (Dursley).","https://www.gloucestershirewildlifetrust.co.uk/nature-reserves/coaley-peak"
poi-dursley-toilets,Public Toilets (May Lane),updated,yes,yes,"Daily: 7am-7pm","Free. Accessible cubicle 24hr via RADAR. Hours corrected from 8am-6pm.","https://www.stroud.gov.uk/community-and-living/public-toilets/; https://www.dursleytowncouncil.gov.uk/public-toilets"
poi-wotton-toilets,Public Toilets (Rope Walk),updated + renamed + moved ~460m,yes,yes,"Daily: 7am-7pm","COORDS WERE WRONG: block is on Rope Walk (GL12 7AA) at 51.6373 -2.3533, not east end of town. Accessible toilet 24hr via RADAR. Old Town new-build not yet open — do not list.","https://www.stroud.gov.uk/community-and-living/public-toilets/; https://www.nationaltrail.co.uk/en_GB/service/public-toilet-wotton-under-edge-2/"
poi-victoria-park-toilets,Public Toilets (Victoria Park),updated,yes,no,"Daily: 7am-5pm","By children's play area. 20p contactless (not coin). No RADAR needed. Hours corrected.","https://www.bathnes.gov.uk/find-public-toilet"
poi-bath-toilets,Public Toilets (Charlotte Street),updated,yes,no,"Daily: 7am-8pm","20p contactless. Hours corrected from 8am-8pm to council's 7am-8pm.","https://www.bathnes.gov.uk/find-public-toilet"
poi-broadway-milestone-toilets,Public Toilets (Milestone Ground),NEW,yes,unknown,"Daily: 8am-6pm","Long-stay car park off Childswickham Road, Broadway. Closed Christmas Day + New Year's Day.","https://www.nationaltrail.co.uk/en_GB/service/public-toilets-broadway-2/; https://www.visit-broadway.co.uk/local-services/broadway-milestone-ground-car-park.php"
poi-broadway-activity-park-toilets,Public Toilets (Broadway Activity Park),NEW,yes (Changing Places),unknown,"Daily: 8am-6pm (winter: accessible unit only)","Keytes Lane. Changing Places facility.","https://www.nationaltrail.co.uk/en_GB/service/public-toilets-broadway-2/; https://www.astorbannerman.co.uk/news/a-visit-to-broadway-activity-park-with-leo-jess-changing-places/"
poi-cleeve-common-toilets,Cleeve Common (NO PUBLIC TOILETS),NEW warning,n/a,n/a,,"Cleeve Common Trust: no public conveniences on/next to Common; golf club patrons-only with steps.","https://www.cleevecommon.org.uk/faqs"
poi-prinknash-toilets,Toilets (Prinknash Abbey Cafe & Shop),NEW,yes,yes,"Daily: 10am-4pm","Free-admission visitor site ~10 min off trail below Buckholt Wood.","https://www.toiletmap.org.uk/loos/02ef1fd5c8a5ca42bc4f0eae; https://www.prinknashabbey.org/cafe-and-shop"
